listing_count,entire_home_share,avg_availability,multi_host_share,borough,household_estimate,listing_density,airbnb_pressure_raw,airbnb_pressure_score,airbnb_pressure_level
337,0.3115727002967359,162.27893175074183,0.08902077151335312,Barking and Dagenham,76841.0,4.385679520047891,-1.941532893179635,0.01604275999088206,Low
1577,0.4204185161699429,135.96512365250476,0.1699429296131896,Barnet,149147.0,10.573461082019753,-0.8418307794427143,0.1833503180591573,Medium
238,0.27310924369747897,177.66806722689077,0.15546218487394958,Bexley,97233.0,2.447728651795172,-1.956383073824414,0.013783468652332265,Low
2472,0.4733009708737864,129.0598705501618,0.281957928802589,Brent,119166.0,20.744171995367807,0.13740542995525248,0.33233031629675425,Medium
674,0.42729970326409494,170.56231454005933,0.18694362017804153,Bromley,139654.0,4.82621335586521,-1.1066810497403687,0.1430562680398775,Low
5968,0.6680630026809652,123.8220509383378,0.41035522788203754,Camden,106518.0,56.02808914925177,2.3397036145641406,0.6673857161204695,High
466,0.8862660944206009,158.23605150214593,0.5815450643776824,City of London,5179.0,89.97876037845144,4.52595649676893,1.0,High
1085,0.3474654377880184,150.96682027649769,0.2064516129032258,Croydon,156979.0,6.911752527408124,-1.1605291676542335,0.13486387029670419,Low
1680,0.4238095238095238,123.55,0.21369047619047618,Ealing,130934.0,12.830891899735745,-0.5049854023956312,0.234597630196103,Medium
633,0.330173775671406,164.68878357030016,0.16429699842022116,Enfield,129014.0,4.9064442618630535,-1.5481654657274255,0.07588927923324934,Low
1665,0.4486486486486487,138.22282282282282,0.16336336336336335,Greenwich,111783.0,14.894930356136442,-0.6695344620105796,0.2095633040793178,Medium
6116,0.5428384565075213,75.01586003924133,0.12279267495094834,Hackney,113537.0,53.86790209359064,0.878574970922419,0.4450910943882167,High
4209,0.6338797814207651,112.3791874554526,0.3159895462105013,Hammersmith and Fulham,82513.0,51.01014385611964,1.7543233054260565,0.5783265528800371,High
2143,0.4218385440970602,96.70041997200187,0.12692487167522165,Haringey,113582.0,18.867426176682926,-0.5640544308765678,0.22561092844372724,Medium
506,0.3339920948616601,178.04347826086956,0.2845849802371542,Harrow,91390.0,5.536710799868695,-1.089525760503253,0.145666256248833,Low
230,0.40869565217391307,175.30434782608697,0.22608695652173913,Havering,102954.0,2.2340074207898675,-1.1056807766085734,0.14320844857403442,Low
607,0.3245469522240527,164.80560131795716,0.27347611202635913,Hillingdon,109932.0,5.521595167921988,-1.08797342995172,0.14590242623582084,Low
1005,0.4616915422885572,139.90049751243782,0.2228855721393035,Hounslow,104474.0,9.619618278231904,-0.4998233986218968,0.23538297218584237,Medium
5156,0.6167571761055082,90.35861132660978,0.23060512024825447,Islington,103612.0,49.76257576342508,1.4349223635280832,0.5297332193162163,High
5852,0.8212576896787424,139.5791182501709,0.46496924128503075,Kensington and Chelsea,79735.0,73.39311469241864,3.4934509539620167,0.8429156597035428,High
551,0.3811252268602541,120.16333938294011,0.10344827586206896,Kingston upon Thames,69132.0,7.970259792860037,-1.2413618185019668,0.12256607323276669,Low
4807,0.5036405242354899,92.62325774911588,0.16996047430830039,Lambeth,142382.0,33.76129005070866,0.3283072001892388,0.36137391693168036,High
2323,0.4128282393456737,102.33491175204477,0.13043478260869565,Lewisham,128966.0,18.012499418451377,-0.6422058368322204,0.2137210532432412,Medium
1446,0.44744121715076074,116.55601659751038,0.13623789764868602,Merton,83446.0,17.328571770965652,-0.5900153498392201,0.22166126070862566,Medium
1964,0.3925661914460285,124.16751527494908,0.23828920570264767,Newham,116187.0,16.903784416500983,-0.42971144119631366,0.24604973388588158,Medium
686,0.2857142857142857,172.91836734693877,0.20116618075801748,Redbridge,109114.0,6.287002584452957,-1.5871251907393094,0.06996198640246631,Low
1198,0.5542570951585977,114.04340567612688,0.1352253756260434,Richmond upon Thames,84615.0,14.158246173846244,-0.23056744552811392,0.2763472982926518,Medium
4886,0.5347932869422841,95.23291035611952,0.2079410560785919,Southwark,132080.0,36.99273167777105,0.6749794990268841,0.41411628692799485,High
280,0.3,141.94642857142858,0.05,Sutton,84612.0,3.30922327802203,-2.0469809510907284,0.0,Low
8024,0.48691425722831505,107.00112163509472,0.35929710867397807,Tower Hamlets,120576.0,66.54723991507431,1.765397674952895,0.5800113961658111,High
1393,0.457286432160804,114.10624551328068,0.1407035175879397,Waltham Forest,104777.0,13.29490250722964,-0.6123661620783547,0.21826083092872373,Medium
4262,0.5572501173158142,93.99554199906147,0.18488972313467855,Wandsworth,136572.0,31.206982397563188,0.5345760579627172,0.3927554505929577,High
9411,0.7565614706194879,144.24046328764211,0.5168419934119647,Westminster,117509.0,80.08748266090257,3.5894367190846057,0.8575188361195674,High
