source,target,similarity
Barking and Dagenham,Barnet,0.694753814990737
Barking and Dagenham,Bexley,0.9662421125930322
Barking and Dagenham,Brent,-0.515072840440554
Barking and Dagenham,Bromley,0.8939567821797855
Barking and Dagenham,Camden,-0.9879261627133595
Barking and Dagenham,City of London,-0.687942882707511
Barking and Dagenham,Croydon,0.9493940982573188
Barking and Dagenham,Ealing,0.22554926672771108
Barking and Dagenham,Enfield,0.9790681770078928
Barking and Dagenham,Greenwich,0.9883844824012673
Barking and Dagenham,Hackney,-0.8541604448105219
Barking and Dagenham,Hammersmith and Fulham,-0.9587065896313602
Barking and Dagenham,Haringey,0.08583499306082283
Barking and Dagenham,Harrow,0.8349102413072459
Barking and Dagenham,Havering,0.8839507661493736
Barking and Dagenham,Hillingdon,0.8969974921940057
Barking and Dagenham,Hounslow,0.9037574560156516
Barking and Dagenham,Islington,-0.9009284385163773
Barking and Dagenham,Kensington and Chelsea,-0.9962448700896686
Barking and Dagenham,Kingston upon Thames,0.9886755128638924
Barking and Dagenham,Lambeth,-0.7782827940841284
Barking and Dagenham,Lewisham,0.3037627586737762
Barking and Dagenham,Merton,0.913232889691507
Barking and Dagenham,Newham,-0.3791585729944346
Barking and Dagenham,Redbridge,0.9721264139043433
Barking and Dagenham,Richmond upon Thames,0.5783675152293977
Barking and Dagenham,Southwark,-0.8883169519519429
Barking and Dagenham,Sutton,0.9907303342505683
Barking and Dagenham,Tower Hamlets,-0.967139974194301
Barking and Dagenham,Waltham Forest,0.6527587222044164
Barking and Dagenham,Wandsworth,-0.9313585601797044
Barking and Dagenham,Westminster,-0.9982759270747508
Barnet,Bexley,0.7118405073783197
Barnet,Brent,0.17953654352502785
Barnet,Bromley,0.5789467427256277
Barnet,Camden,-0.7977794476287889
Barnet,City of London,-0.8975316085518008
Barnet,Croydon,0.7995610697108241
Barnet,Ealing,0.7918516870705296
Barnet,Enfield,0.7538298173977047
Barnet,Greenwich,0.6657323378429667
Barnet,Hackney,-0.7330268641119504
Barnet,Hammersmith and Fulham,-0.6783859223379066
Barnet,Haringey,-0.41279230753572055
Barnet,Harrow,0.9175355752004887
Barnet,Havering,0.6395239991523696
Barnet,Hillingdon,0.858820562825834
Barnet,Hounslow,0.7582732749725044
Barnet,Islington,-0.8479565516256217
Barnet,Kensington and Chelsea,-0.6763822249423187
Barnet,Kingston upon Thames,0.6096734054433856
Barnet,Lambeth,-0.59188253716403
Barnet,Lewisham,0.1692728910154253
Barnet,Merton,0.34873821781505976
Barnet,Newham,0.2023821748907835
Barnet,Redbridge,0.8088460185834235
Barnet,Richmond upon Thames,-0.11221582870263147
Barnet,Southwark,-0.7787152621425484
Barnet,Sutton,0.7293205077454404
Barnet,Tower Hamlets,-0.7728444133311569
Barnet,Waltham Forest,0.8216692503000541
Barnet,Wandsworth,-0.6874230540406744
Barnet,Westminster,-0.7218134064707561
Bexley,Brent,-0.5611783016404501
Bexley,Bromley,0.972173515753465
Bexley,Camden,-0.9626513278726069
Bexley,City of London,-0.5890557278885757
Bexley,Croydon,0.9902917134856093
Bexley,Ealing,0.16426925876425683
Bexley,Enfield,0.9960122398159823
Bexley,Greenwich,0.9908738695996598
Bexley,Hackney,-0.9575461376692638
Bexley,Hammersmith and Fulham,-0.998674264325074
Bexley,Haringey,-0.1424129023771888
Bexley,Harrow,0.905496388808154
Bexley,Havering,0.9733120504981461
Bexley,Hillingdon,0.9597879036597855
Bexley,Hounslow,0.9809478229300029
Bexley,Islington,-0.9645927074615351
Bexley,Kensington and Chelsea,-0.9403214854953454
Bexley,Kingston upon Thames,0.9756110787621314
Bexley,Lambeth,-0.9128571531973017
Bexley,Lewisham,0.05116497533057331
Bexley,Merton,0.8827548974848511
Bexley,Newham,-0.496007999213554
Bexley,Redbridge,0.9857981016205165
Bexley,Richmond upon Thames,0.6174412223671952
Bexley,Southwark,-0.9716859294617942
Bexley,Sutton,0.9914958354929186
Bexley,Tower Hamlets,-0.9957006924138551
Bexley,Waltham Forest,0.5191771159173898
Bexley,Wandsworth,-0.9935206828893672
Bexley,Westminster,-0.9777535117096403
Brent,Bromley,-0.6908657804637746
Brent,Camden,0.3920223602811053
Brent,City of London,-0.2628948853218645
Brent,Croydon,-0.4471778667049394
Brent,Ealing,0.7164642730795288
Brent,Enfield,-0.5017190705241193
Brent,Greenwich,-0.5935119760807421
Brent,Hackney,0.4976043358881729
Brent,Hammersmith and Fulham,0.6002577166342523
Brent,Haringey,-0.22026794547030887
Brent,Harrow,-0.20032302643283129
Brent,Havering,-0.6247785575822814
Brent,Hillingdon,-0.34191683261625616
Brent,Hounslow,-0.4929505607876092
