borough,listingCount,entireHomeShare,multiHostShare,multiHostShare2,activeListingsShare,avgReviewsPerMonth,avgAvailability,populationEstimate,householdEstimate,populationDensity,medianIncome,medianHousePrice,newHomes,rentedAssociationRatio,rentedPrivateRatio,transportScore,cyclePerMonth,carsPerHousehold,ownedRatio,netMigration,airbnbPerHousehold,airbnbPerCapita,priceIncomeRatio
Barking and Dagenham,337,0.3115727002967359,0.08902077151335312,0.11275964391691394,0.4658753709198813,0.7413056379821958,162.27893175074183,205773,76841.0,57.3,34080,215000,510.0,35.9,20.3,3.0,6.5,0.8,,1425.0,4.385679520047891,0.0016377270098603802,6.30868544600939
Barnet,1577,0.4204185161699429,0.1699429296131896,0.14267596702599875,0.4559289790741915,0.7203551046290425,135.96512365250476,385108,149147.0,44.5,54530,400000,1320.0,11.1,31.1,3.0,12.1,1.1,,2886.0,10.573461082019753,0.0040949551814036585,7.335411699981662
Bexley,238,0.27310924369747897,0.15546218487394958,0.15966386554621848,0.38235294117647056,0.5122268907563025,177.66806722689077,243303,97233.0,39.9,44430,250000,810.0,15.2,11.4,2.6,9.2,1.2,,1972.0,2.447728651795172,0.0009782041322959438,5.626828719333783
Brent,2472,0.4733009708737864,0.281957928802589,0.18163430420711973,0.5331715210355987,0.9968932038834952,129.0598705501618,328568,119166.0,76.1,39630,385000,1560.0,20.4,34.8,3.7,11.7,0.8,,-215.0,20.744171995367807,0.0075235567675488784,9.714862477920768
Bromley,674,0.42729970326409494,0.18694362017804153,0.06379821958456973,0.44510385756676557,0.6115578635014837,170.56231454005933,326560,139654.0,21.7,55140,335000,410.0,13.2,14.1,2.8,12.2,1.2,,1897.0,4.82621335586521,0.002063939245467908,6.07544432354008
Camden,5968,0.6680630026809652,0.41035522788203754,0.34031501340482573,0.5608243967828418,1.1274028150134048,123.8220509383378,240595,106518.0,109.8,67990,675000,440.0,34.4,32.0,5.7,15.1,0.5,,3498.0,56.02808914925177,0.024805170514765478,9.92793057802618
City of London,466,0.8862660944206009,0.5815450643776824,0.6008583690987125,0.49141630901287553,0.8142060085836911,158.23605150214593,8548,5179.0,28.9,99390,765000,230.0,,25.05,7.9,14.2,0.4,,390.0,89.97876037845144,0.05451567618156294,7.696951403561727
Croydon,1085,0.3474654377880184,0.2064516129032258,0.08110599078341015,0.4626728110599078,0.7750506912442395,150.96682027649769,383408,156979.0,44.4,45120,265000,1520.0,16.7,18.6,3.2,6.8,1.0,,-173.0,6.911752527408124,0.002829883570504528,5.87322695035461
Ealing,1680,0.4238095238095238,0.21369047619047618,0.1375,0.4928571428571429,0.8129285714285714,123.55,348533,130934.0,63.5,45690,388000,900.0,14.3,35.0,3.3,13.4,0.9,,-4100.0,12.830891899735745,0.004820203538832764,8.492011381046181
Enfield,633,0.330173775671406,0.16429699842022116,0.08530805687203792,0.40126382306477093,0.6075355450236967,164.68878357030016,330968,129014.0,41.0,41250,285000,400.0,17.2,21.0,3.0,7.9,1.0,,1091.0,4.9064442618630535,0.0019125716081312997,6.909090909090909
