borough,airbnb_pressure_score,housing_pressure_score,transport_accessibility_score,airbnb_pressure_level,housing_pressure_level,transport_accessibility_level
Barking and Dagenham,0.01604275999088217,0.20541268944756208,0.21262400765042822,Low,Low,Low
Barnet,0.18335031805915725,0.4950703486291644,0.16077478120545935,Medium,Medium,Low
Bexley,0.013783468652332265,0.03712870857497108,0.031734497959362284,Low,Low,Low
Brent,0.3323303162967542,0.8199927791125254,0.36089916876689104,Medium,High,Medium
Bromley,0.14305626803987742,0.0005828235526190162,0.09689744264496952,Low,Low,Low
Camden,0.6673857161204694,0.743970827906111,0.7482083984931373,High,High,High
City of London,1.0,0.2480290542823786,1.0000000000000002,High,Low,High
Croydon,0.13486387029670413,0.2520262330134836,0.14636254326171433,Low,Low,Low
Ealing,0.2345976301961029,0.6077876771648818,0.30111504935146327,Medium,Medium,Medium
Enfield,0.07588927923324926,0.19716913167030464,0.14292791851213854,Low,Low,Low
Greenwich,0.20956330407931772,0.34631846652296194,0.32939977801129433,Medium,Medium,Medium
Hackney,0.4450910943882167,0.8381556396332446,0.8491130893471412,High,High,High
Hammersmith and Fulham,0.578326552880037,0.9183038255214613,0.7822246132287962,High,High,High
Haringey,0.22561092844372713,0.4704906217798507,0.5643557720259711,Medium,Medium,High
Harrow,0.1456662562488331,0.31169287493861,0.0,Low,Medium,Low
Havering,0.1432084485740344,0.0,0.021736557300472636,Low,Low,Low
Hillingdon,0.1459024262358208,0.2686728743621527,0.07346693657761427,Low,Medium,Low
Hounslow,0.23538297218584228,0.3308550068696725,0.25434000815278046,Medium,Medium,Medium
Islington,0.5297332193162162,0.7635425361944419,0.8824239824715032,High,High,High
Kensington and Chelsea,0.8429156597035428,0.8997348622390743,0.7293805696985923,High,High,High
Kingston upon Thames,0.12256607323276658,0.238576816570802,0.2862780306500532,Low,Low,Medium
Lambeth,0.3613739169316802,0.842793509130932,0.7550068216062167,High,High,High
Lewisham,0.2137210532432411,0.519608586458096,0.4673559203290742,Medium,Medium,Medium
Merton,0.22166126070862552,0.3312782609543099,0.4014471167460086,Medium,Medium,Medium
Newham,0.24604973388588156,0.8670770933052174,0.40241293829727726,Medium,High,Medium
Redbridge,0.06996198640246631,0.23433538116262778,0.12162999295334187,Low,Low,Low
Richmond upon Thames,0.27634729829265164,0.1736887493437575,0.46586420253415745,Medium,Low,Medium
Southwark,0.4141162869279948,0.6744046577955469,0.6757527171166577,High,High,High
Sutton,0.0,0.13096679161119362,0.11141208964064198,Low,Low,Low
Tower Hamlets,0.5800113961658111,0.8089136454813144,0.7868437286175065,High,High,High
Waltham Forest,0.21826083092872361,0.5110212266042683,0.3674624846762049,Medium,Medium,Medium
Wandsworth,0.3927554505929576,0.635498379254894,0.5641358093721609,High,Medium,Medium
Westminster,0.8575188361195675,1.0,0.8778756934688652,High,High,High
