borough,airbnb_pressure_score,housing_pressure_score,airbnb_pressure_level,housing_pressure_level
Barking and Dagenham,0.016042759990882,0.2291120471059664,Low,Low
Barnet,0.1833503180591573,0.407404439429111,Medium,Medium
Bexley,0.0137834686523322,0.0167980741795746,Low,Low
Brent,0.3323303162967542,0.71428309011716,High,High
Bromley,0.1430562680398775,0.0351801332247742,Low,Low
Camden,0.6673857161204695,0.7868703522241045,High,High
Croydon,0.1348638702967041,0.1390837690963706,Low,Low
Ealing,0.234597630196103,0.5942612261838202,Medium,Medium
Enfield,0.0758892792332493,0.2375656060073645,Low,Low
Greenwich,0.2095633040793178,0.2855503257822344,Medium,Low
Hackney,0.4450910943882167,0.7745765585426863,High,High
Hammersmith and Fulham,0.5783265528800371,0.8475888163613667,High,High
Haringey,0.2256109284437272,0.5562223059228473,Medium,Medium
Harrow,0.145666256248833,0.3540788162207086,Low,Medium
Havering,0.1432084485740344,0.0,Low,Low
Hillingdon,0.1459024262358208,0.283104857790555,Low,Low
Hounslow,0.2353829721858423,0.3738846963209761,Medium,Medium
Islington,0.5297332193162163,0.8000760748687112,High,High
Kensington and Chelsea,0.8429156597035428,0.8782673877480774,High,High
Kingston upon Thames,0.1225660732327666,0.2593526412096535,Low,Low
Lambeth,0.3613739169316803,0.7545327539933593,High,High
Lewisham,0.2137210532432412,0.41486589267667,Medium,Medium
Merton,0.2216612607086256,0.3720849302002826,Medium,Medium
Newham,0.2460497338858815,0.684452387597794,Medium,High
Redbridge,0.0699619864024663,0.2919628690637155,Low,Medium
Richmond upon Thames,0.2763472982926518,0.236521959356422,Medium,Low
Southwark,0.4141162869279948,0.6236158269455631,High,High
Sutton,0.0,0.1639403820550883,Low,Low
Tower Hamlets,0.5800113961658111,0.7759500784976252,High,High
Waltham Forest,0.2182608309287237,0.52286589752034,Medium,Medium
Wandsworth,0.3927554505929577,0.594783618590792,High,Medium
Westminster,0.8575188361195674,1.0,High,High
