borough,median_house_price,median_income,population_density,private_rent_share,new_homes,price_income_ratio,low_new_homes_pressure,housing_pressure_raw,housing_pressure_score,housing_pressure_level
Barking and Dagenham,215000.0,34080.0,57.3,20.3,510.0,6.30868544600939,-510.0,-1.342557458831788,0.2291120471059664,Low
Barnet,400000.0,54530.0,44.5,31.1,1320.0,7.335411699981662,-1320.0,-0.3189722571616103,0.407404439429111,Medium
Bexley,250000.0,44430.0,39.9,11.4,810.0,5.626828719333783,-810.0,-2.561462191465443,0.016798074179574685,Low
Brent,385000.0,39630.0,76.1,34.8,1560.0,9.714862477920768,-1560.0,1.4428328398471333,0.71428309011716,High
Bromley,335000.0,55140.0,21.7,14.1,410.0,6.07544432354008,-410.0,-2.4559299061574333,0.03518013322477426,Low
Camden,675000.0,67990.0,109.8,32.0,440.0,9.92793057802618,-440.0,1.8595598036525198,0.7868703522241045,High
Croydon,265000.0,45120.0,44.4,18.6,1520.0,5.87322695035461,-1520.0,-1.8594141339918335,0.1390837690963706,Low
Ealing,388000.0,45690.0,63.5,35.0,900.0,8.492011381046181,-900.0,0.7537815449585937,0.5942612261838202,Medium
Enfield,285000.0,41250.0,41.0,21.0,400.0,6.909090909090909,-400.0,-1.2940251704925556,0.23756560600736457,Low
Greenwich,317000.0,44370.0,58.8,19.7,1150.0,7.144466982195177,-1150.0,-1.0185425858019739,0.2855503257822344,Low
Hackney,433000.0,42690.0,141.1,23.3,1260.0,10.142890606699462,-1260.0,1.7889805426940448,0.7745765585426863,High
Hammersmith and Fulham,661000.0,62910.0,111.8,33.1,1360.0,10.507073597202353,-1360.0,2.208147427326326,0.8475888163613667,High
Haringey,405000.0,45860.0,92.7,23.9,130.0,8.831225468818142,-130.0,0.5353982737527511,0.5562223059228473,Medium
Harrow,370000.0,49060.0,49.8,24.6,410.0,7.541785568691398,-410.0,-0.6251172254058599,0.35407881622070864,Medium
Havering,250000.0,44430.0,22.3,13.8,640.0,5.626828719333783,-640.0,-2.6579007434570894,0.0,Low
Hillingdon,307000.0,44950.0,25.8,28.2,550.0,6.829810901001112,-550.0,-1.0325821351895008,0.283104857790555,Low
Hounslow,319950.0,44490.0,48.9,28.3,400.0,7.191503708698584,-400.0,-0.5114107149231016,0.37388469632097615,Medium
Islington,530000.0,54950.0,153.0,25.5,500.0,9.64513193812557,-500.0,1.9353744926600072,0.8000760748687112,High
Kensington and Chelsea,1195000.0,116350.0,129.2,33.1,980.0,10.270734851740439,-980.0,2.3842745815511948,0.8782673877480774,High
Kingston upon Thames,385000.0,56920.0,46.3,22.4,530.0,6.763879128601546,-530.0,-1.1689447532590982,0.2593526412096535,Low
Lambeth,420000.0,48610.0,121.4,34.4,1410.0,8.640197490228347,-1410.0,1.673908096503096,0.7545327539933593,High
Lewisham,315000.0,43360.0,84.7,23.6,1470.0,7.264760147601476,-1470.0,-0.27613569510957997,0.41486589267667,Medium
Merton,385000.0,57160.0,55.7,29.3,430.0,6.735479356193142,-430.0,-0.5217432588056824,0.37208493020028266,Medium
Newham,250000.0,34260.0,93.5,42.5,2050.0,7.297139521307647,-2050.0,1.2715733415792168,0.684452387597794,High
Redbridge,301500.0,45380.0,53.3,24.1,260.0,6.643895989422653,-260.0,-0.9817278663264669,0.2919628690637155,Medium
Richmond upon Thames,535000.0,76610.0,34.3,21.9,240.0,6.983422529695862,-240.0,-1.3000167961236777,0.23652195935642203,Low
Southwark,420000.0,48000.0,108.2,26.4,1140.0,8.75,-1140.0,0.9223077201315526,0.6236158269455631,High
Sutton,285000.0,49170.0,46.1,20.5,430.0,5.796217205613178,-430.0,-1.7167111231865664,0.16394038205508832,Low
Tower Hamlets,383000.0,45720.0,149.8,31.5,920.0,8.377077865266841,-920.0,1.796865986833052,0.7759500784976252,High
Waltham Forest,320000.0,39460.0,71.1,30.0,670.0,8.109477952356817,-670.0,0.34389752839402166,0.52286589752034,Medium
Wandsworth,532500.0,66220.0,93.8,31.2,1080.0,8.04137722742374,-1080.0,0.756780624898427,0.594783618590792,Medium
Westminster,875000.0,80760.0,110.4,43.3,750.0,10.8345715700842,-750.0,3.083147364837903,1.0,High
Inner London,465000.0,56890.0,109.2,30.9,13720.0,8.17366848303744,-13720.0,0.943819119239003,0.6273627732699406,High
Outer London,318000.0,48530.0,42.0,23.9,13140.0,6.552647846692768,-13140.0,-1.3002455943749576,0.23648210631095645,Low
London,365000.0,51770.0,55.7,26.8,26840.0,7.050415298435388,-26840.0,-0.757209678794624,0.3310703949538829,Medium
