borough,airbnb_pressure_score,housing_pressure_score,transport_pressure_score,airbnb_pressure_level,housing_pressure_level,transport_pressure_level
Barking and Dagenham,0.01604275999088217,0.20541268944756208,0.7873759923495717,Low,Low,High
Barnet,0.18335031805915725,0.4950703486291644,0.8392252187945407,Medium,Medium,High
Bexley,0.013783468652332265,0.03712870857497108,0.9682655020406377,Low,Low,High
Brent,0.3323303162967542,0.8199927791125254,0.639100831233109,Medium,High,Medium
Bromley,0.14305626803987742,0.0005828235526190162,0.9031025573550305,Low,Low,High
Camden,0.6673857161204694,0.743970827906111,0.25179160150686286,High,High,Low
City of London,1.0,0.2480290542823786,0.0,High,Low,Low
Croydon,0.13486387029670413,0.2520262330134836,0.8536374567382857,Low,Low,High
Ealing,0.2345976301961029,0.6077876771648818,0.6988849506485367,Medium,Medium,Medium
Enfield,0.07588927923324926,0.19716913167030464,0.8570720814878615,Low,Low,High
Greenwich,0.20956330407931772,0.34631846652296194,0.6706002219887056,Medium,Medium,Medium
Hackney,0.4450910943882167,0.8381556396332446,0.15088691065285853,High,High,Low
Hammersmith and Fulham,0.578326552880037,0.9183038255214613,0.21777538677120378,High,High,Low
Haringey,0.22561092844372713,0.4704906217798507,0.4356442279740289,Medium,Medium,Low
Harrow,0.1456662562488331,0.31169287493861,1.0,Low,Medium,High
Havering,0.1432084485740344,0.0,0.9782634426995274,Low,Low,High
Hillingdon,0.1459024262358208,0.2686728743621527,0.9265330634223857,Low,Medium,High
Hounslow,0.23538297218584228,0.3308550068696725,0.7456599918472195,Medium,Medium,Medium
Islington,0.5297332193162162,0.7635425361944419,0.11757601752849667,High,High,Low
Kensington and Chelsea,0.8429156597035428,0.8997348622390743,0.27061943030140767,High,High,Low
Kingston upon Thames,0.12256607323276658,0.238576816570802,0.7137219693499468,Low,Low,Medium
Lambeth,0.3613739169316802,0.842793509130932,0.24499317839378332,High,High,Low
Lewisham,0.2137210532432411,0.519608586458096,0.5326440796709259,Medium,Medium,Medium
Merton,0.22166126070862552,0.3312782609543099,0.5985528832539914,Medium,Medium,Medium
Newham,0.24604973388588156,0.8670770933052174,0.5975870617027228,Medium,High,Medium
Redbridge,0.06996198640246631,0.23433538116262778,0.8783700070466582,Low,Low,High
Richmond upon Thames,0.27634729829265164,0.1736887493437575,0.5341357974658425,Medium,Low,Medium
Southwark,0.4141162869279948,0.6744046577955469,0.32424728288334226,High,High,Low
Sutton,0.0,0.13096679161119362,0.888587910359358,Low,Low,High
Tower Hamlets,0.5800113961658111,0.8089136454813144,0.2131562713824936,High,High,Low
Waltham Forest,0.21826083092872361,0.5110212266042683,0.6325375153237951,Medium,Medium,Medium
Wandsworth,0.3927554505929576,0.635498379254894,0.4358641906278391,High,Medium,Medium
Westminster,0.8575188361195675,1.0,0.12212430653113482,High,High,Low
