host,boroughCount,boroughs
28820321,22,"Havering, Hounslow, Richmond_upon_Thames, Waltham_Forest, Merton, Barnet, Greenwich, Ealing, Newham, Haringey, Lewisham, Brent, Hammersmith_and_Fulham, Wandsworth, Lambeth, Southwark, Islington, Kensington_and_Chelsea, Camden, Hackney, Tower_Hamlets, Westminster"
33889201,22,"City_of_London, Kingston_upon_Thames, Hounslow, Richmond_upon_Thames, Merton, Barnet, Greenwich, Ealing, Newham, Haringey, Lewisham, Brent, Hammersmith_and_Fulham, Wandsworth, Lambeth, Southwark, Islington, Kensington_and_Chelsea, Camden, Hackney, Tower_Hamlets, Westminster"
137094377,21,"City_of_London, Kingston_upon_Thames, Hounslow, Croydon, Richmond_upon_Thames, Merton, Barnet, Ealing, Haringey, Lewisham, Brent, Hammersmith_and_Fulham, Wandsworth, Lambeth, Southwark, Islington, Kensington_and_Chelsea, Camden, Hackney, Tower_Hamlets, Westminster"
2125620,17,"City_of_London, Hounslow, Richmond_upon_Thames, Merton, Greenwich, Ealing, Haringey, Brent, Hammersmith_and_Fulham, Wandsworth, Lambeth, Southwark, Islington, Kensington_and_Chelsea, Camden, Tower_Hamlets, Westminster"
105564995,15,"City_of_London, Richmond_upon_Thames, Merton, Ealing, Brent, Hammersmith_and_Fulham, Wandsworth, Lambeth, Southwark, Islington, Kensington_and_Chelsea, Camden, Hackney, Tower_Hamlets, Westminster"
156158778,15,"City_of_London, Richmond_upon_Thames, Ealing, Haringey, Brent, Hammersmith_and_Fulham, Wandsworth, Lambeth, Southwark, Islington, Kensington_and_Chelsea, Camden, Hackney, Tower_Hamlets, Westminster"
188461840,14,"Merton, Greenwich, Newham, Brent, Hammersmith_and_Fulham, Wandsworth, Lambeth, Southwark, Islington, Kensington_and_Chelsea, Camden, Hackney, Tower_Hamlets, Westminster"
21867370,13,"City_of_London, Hillingdon, Merton, Barnet, Newham, Haringey, Brent, Lambeth, Southwark, Islington, Camden, Hackney, Westminster"
161695688,13,"City_of_London, Greenwich, Newham, Brent, Hammersmith_and_Fulham, Wandsworth, Lambeth, Southwark, Islington, Kensington_and_Chelsea, Camden, Tower_Hamlets, Westminster"
203207522,13,"City_of_London, Haringey, Lewisham, Brent, Hammersmith_and_Fulham, Lambeth, Southwark, Islington, Kensington_and_Chelsea, Camden, Hackney, Tower_Hamlets, Westminster"
133522076,13,"City_of_London, Merton, Barnet, Ealing, Haringey, Lewisham, Brent, Hammersmith_and_Fulham, Wandsworth, Islington, Kensington_and_Chelsea, Camden, Tower_Hamlets"
14875410,13,"Kingston_upon_Thames, Greenwich, Haringey, Lewisham, Hammersmith_and_Fulham, Wandsworth, Lambeth, Southwark, Islington, Kensington_and_Chelsea, Camden, Tower_Hamlets, Westminster"
27572615,13,"Hounslow, Richmond_upon_Thames, Merton, Ealing, Brent, Hammersmith_and_Fulham, Wandsworth, Lambeth, Southwark, Kensington_and_Chelsea, Camden, Tower_Hamlets, Westminster"
23234040,13,"Merton, Greenwich, Lewisham, Brent, Hammersmith_and_Fulham, Wandsworth, Lambeth, Southwark, Islington, Kensington_and_Chelsea, Camden, Hackney, Westminster"
106387632,13,"Merton, Ealing, Haringey, Lewisham, Hammersmith_and_Fulham, Wandsworth, Lambeth, Southwark, Islington, Kensington_and_Chelsea, Camden, Tower_Hamlets, Westminster"
157242965,13,"Greenwich, Newham, Brent, Hammersmith_and_Fulham, Wandsworth, Lambeth, Southwark, Islington, Kensington_and_Chelsea, Camden, Hackney, Tower_Hamlets, Westminster"
19826493,12,"Havering, Barking_and_Dagenham, Hillingdon, Redbridge, Greenwich, Newham, Lewisham, Brent, Islington, Hackney, Tower_Hamlets, Westminster"
30253178,12,"Harrow, Croydon, Richmond_upon_Thames, Barnet, Greenwich, Ealing, Hammersmith_and_Fulham, Southwark, Kensington_and_Chelsea, Camden, Tower_Hamlets, Westminster"
13815070,12,"Bromley, Richmond_upon_Thames, Merton, Brent, Hammersmith_and_Fulham, Wandsworth, Lambeth, Islington, Kensington_and_Chelsea, Camden, Tower_Hamlets, Westminster"
111104094,12,"Hounslow, Newham, Brent, Hammersmith_and_Fulham, Wandsworth, Lambeth, Southwark, Islington, Camden, Hackney, Tower_Hamlets, Westminster"
198139695,12,"Richmond_upon_Thames, Brent, Hammersmith_and_Fulham, Wandsworth, Lambeth, Southwark, Islington, Kensington_and_Chelsea, Camden, Hackney, Tower_Hamlets, Westminster"
47542963,12,"Greenwich, Newham, Hammersmith_and_Fulham, Wandsworth, Lambeth, Southwark, Islington, Kensington_and_Chelsea, Camden, Hackney, Tower_Hamlets, Westminster"
203248950,12,"Greenwich, Brent, Hammersmith_and_Fulham, Wandsworth, Lambeth, Southwark, Islington, Kensington_and_Chelsea, Camden, Hackney, Tower_Hamlets, Westminster"
144274898,12,"Ealing, Brent, Hammersmith_and_Fulham, Wandsworth, Lambeth, Southwark, Islington, Kensington_and_Chelsea, Camden, Hackney, Tower_Hamlets, Westminster"
190946293,12,"Newham, Brent, Hammersmith_and_Fulham, Wandsworth, Lambeth, Southwark, Islington, Kensington_and_Chelsea, Camden, Hackney, Tower_Hamlets, Westminster"
97366167,12,"Newham, Brent, Hammersmith_and_Fulham, Wandsworth, Lambeth, Southwark, Islington, Kensington_and_Chelsea, Camden, Hackney, Tower_Hamlets, Westminster"
173009431,11,"Barking_and_Dagenham, Hammersmith_and_Fulham, Wandsworth, Lambeth, Southwark, Islington, Kensington_and_Chelsea, Camden, Hackney, Tower_Hamlets, Westminster"
1111601,11,"City_of_London, Greenwich, Haringey, Hammersmith_and_Fulham, Wandsworth, Lambeth, Kensington_and_Chelsea, Camden, Hackney, Tower_Hamlets, Westminster"
92803777,11,"Greenwich, Ealing, Newham, Wandsworth, Lambeth, Southwark, Islington, Kensington_and_Chelsea, Camden, Tower_Hamlets, Westminster"
101037,11,"Ealing, Haringey, Brent, Lambeth, Southwark, Islington, Kensington_and_Chelsea, Camden, Hackney, Tower_Hamlets, Westminster"
27834248,10,"Barnet, Brent, Hammersmith_and_Fulham, Wandsworth, Lambeth, Islington, Kensington_and_Chelsea, Camden, Tower_Hamlets, Westminster"
168342394,10,"Greenwich, Hammersmith_and_Fulham, Wandsworth, Lambeth, Southwark, Islington, Kensington_and_Chelsea, Hackney, Tower_Hamlets, Westminster"
156187808,10,"Brent, Hammersmith_and_Fulham, Wandsworth, Lambeth, Islington, Kensington_and_Chelsea, Camden, Hackney, Tower_Hamlets, Westminster"
54987,9,"City_of_London, Hounslow, Lambeth, Southwark, Islington, Camden, Hackney, Tower_Hamlets, Westminster"
1432477,9,"Hounslow, Ealing, Brent, Hammersmith_and_Fulham, Lambeth, Islington, Kensington_and_Chelsea, Camden, Westminster"
20001519,9,"Hounslow, Hammersmith_and_Fulham, Wandsworth, Lambeth, Islington, Kensington_and_Chelsea, Camden, Tower_Hamlets, Westminster"
256757217,9,"Merton, Hammersmith_and_Fulham, Wandsworth, Southwark, Islington, Kensington_and_Chelsea, Camden, Tower_Hamlets, Westminster"
132780496,9,"Newham, Brent, Hammersmith_and_Fulham, Lambeth, Islington, Kensington_and_Chelsea, Camden, Tower_Hamlets, Westminster"
205414887,9,"Lewisham, Hammersmith_and_Fulham, Wandsworth, Lambeth, Kensington_and_Chelsea, Camden, Hackney, Tower_Hamlets, Westminster"
162352928,9,"Hammersmith_and_Fulham, Wandsworth, Lambeth, Southwark, Islington, Kensington_and_Chelsea, Hackney, Tower_Hamlets, Westminster"
988379,8,"Havering, Barking_and_Dagenham, Merton, Hammersmith_and_Fulham, Wandsworth, Islington, Camden, Westminster"
9063235,8,"Sutton, City_of_London, Redbridge, Hounslow, Croydon, Richmond_upon_Thames, Merton, Ealing"
109436913,8,"City_of_London, Hounslow, Lambeth, Southwark, Islington, Camden, Hackney, Tower_Hamlets"
123745971,8,"City_of_London, Hammersmith_and_Fulham, Southwark, Islington, Camden, Hackney, Tower_Hamlets, Westminster"
209461575,8,"City_of_London, Lambeth, Southwark, Islington, Camden, Hackney, Tower_Hamlets, Westminster"
204935083,8,"City_of_London, Merton, Wandsworth, Islington, Kensington_and_Chelsea, Camden, Tower_Hamlets, Westminster"
135381324,8,"Harrow, Kingston_upon_Thames, Hounslow, Croydon, Richmond_upon_Thames, Southwark, Kensington_and_Chelsea, Westminster"
175128252,8,"Harrow, Lewisham, Hammersmith_and_Fulham, Lambeth, Southwark, Kensington_and_Chelsea, Camden, Hackney"
178022571,8,"Waltham_Forest, Newham, Wandsworth, Lambeth, Islington, Camden, Tower_Hamlets, Westminster"
230404895,8,"Barnet, Ealing, Brent, Hammersmith_and_Fulham, Lambeth, Kensington_and_Chelsea, Camden, Westminster"
163583804,8,"Brent, Hammersmith_and_Fulham, Lambeth, Islington, Kensington_and_Chelsea, Camden, Tower_Hamlets, Westminster"
922398,7,"City_of_London, Lambeth, Southwark, Islington, Camden, Hackney, Tower_Hamlets"
302657,7,"City_of_London, Barnet, Hammersmith_and_Fulham, Islington, Kensington_and_Chelsea, Camden, Tower_Hamlets"
50291093,7,"City_of_London, Lambeth, Southwark, Islington, Camden, Hackney, Tower_Hamlets"
125334787,7,"City_of_London, Southwark, Islington, Camden, Hackney, Tower_Hamlets, Westminster"
250186288,7,"City_of_London, Greenwich, Newham, Hammersmith_and_Fulham, Lambeth, Southwark, Islington"
219870898,7,"City_of_London, Newham, Hammersmith_and_Fulham, Southwark, Kensington_and_Chelsea, Camden, Westminster"
184761028,7,"Hillingdon, Merton, Barnet, Ealing, Brent, Wandsworth, Camden"
230373260,7,"Enfield, Barnet, Haringey, Islington, Camden, Hackney, Tower_Hamlets"
145952198,7,"Hounslow, Hammersmith_and_Fulham, Wandsworth, Lambeth, Islington, Kensington_and_Chelsea, Westminster"
478692,7,"Barnet, Brent, Hammersmith_and_Fulham, Kensington_and_Chelsea, Camden, Tower_Hamlets, Westminster"
50425595,7,"Barnet, Lambeth, Southwark, Kensington_and_Chelsea, Camden, Tower_Hamlets, Westminster"
221577772,7,"Greenwich, Newham, Hammersmith_and_Fulham, Southwark, Camden, Hackney, Westminster"
176910904,7,"Ealing, Brent, Wandsworth, Kensington_and_Chelsea, Camden, Hackney, Westminster"
10961046,7,"Hammersmith_and_Fulham, Wandsworth, Lambeth, Southwark, Kensington_and_Chelsea, Camden, Westminster"
67625,7,"Hammersmith_and_Fulham, Lambeth, Islington, Kensington_and_Chelsea, Camden, Tower_Hamlets, Westminster"
20648813,6,"City_of_London, Hammersmith_and_Fulham, Lambeth, Camden, Tower_Hamlets, Westminster"
162651986,6,"City_of_London, Newham, Islington, Kensington_and_Chelsea, Camden, Tower_Hamlets"
7258745,6,"City_of_London, Brent, Islington, Kensington_and_Chelsea, Camden, Westminster"
10433541,6,"City_of_London, Newham, Hammersmith_and_Fulham, Lambeth, Camden, Westminster"
199988898,6,"City_of_London, Hounslow, Hammersmith_and_Fulham, Kensington_and_Chelsea, Camden, Westminster"
219610650,6,"City_of_London, Hammersmith_and_Fulham, Wandsworth, Lambeth, Kensington_and_Chelsea, Westminster"
1836897,6,"City_of_London, Southwark, Camden, Hackney, Tower_Hamlets, Westminster"
218940007,6,"City_of_London, Islington, Camden, Hackney, Tower_Hamlets, Westminster"
78404943,6,"Harrow, Croydon, Kensington_and_Chelsea, Camden, Tower_Hamlets, Westminster"
160838291,6,"Hillingdon, Haringey, Islington, Camden, Tower_Hamlets, Westminster"
14201109,6,"Redbridge, Newham, Hammersmith_and_Fulham, Wandsworth, Hackney, Tower_Hamlets"
142216086,6,"Waltham_Forest, Hammersmith_and_Fulham, Wandsworth, Hackney, Tower_Hamlets, Westminster"
124754167,6,"Waltham_Forest, Newham, Lambeth, Islington, Kensington_and_Chelsea, Hackney"
28886982,6,"Greenwich, Wandsworth, Lambeth, Islington, Camden, Hackney"
77455943,6,"Ealing, Lambeth, Southwark, Islington, Kensington_and_Chelsea, Hackney"
129230780,6,"Ealing, Lewisham, Hammersmith_and_Fulham, Southwark, Hackney, Westminster"
11904943,6,"Ealing, Newham, Lambeth, Southwark, Tower_Hamlets, Westminster"
3875323,6,"Lewisham, Wandsworth, Lambeth, Southwark, Camden, Westminster"
40421915,6,"Brent, Hammersmith_and_Fulham, Islington, Kensington_and_Chelsea, Camden, Westminster"
24364444,6,"Brent, Southwark, Camden, Hackney, Tower_Hamlets, Westminster"
236311107,6,"Brent, Lambeth, Southwark, Camden, Tower_Hamlets, Westminster"
209020721,6,"Brent, Lambeth, Islington, Hackney, Tower_Hamlets, Westminster"
2634160,6,"Hammersmith_and_Fulham, Wandsworth, Lambeth, Kensington_and_Chelsea, Hackney, Westminster"
161586819,6,"Hammersmith_and_Fulham, Lambeth, Southwark, Islington, Tower_Hamlets, Westminster"
235577341,6,"Hammersmith_and_Fulham, Southwark, Camden, Hackney, Tower_Hamlets, Westminster"
