borough,airbnb_pressure_indicator,housing_indicator,transportation_indicator,airbnb_score,housing_score,transport_score
Havering,Low,Low,High,0.1432084485740344,0.0,0.9782634426995274
Bexley,Low,Low,High,0.0137834686523322,0.037128708574971,0.9682655020406375
Sutton,Low,Low,High,0.0,0.1309667916111936,0.888587910359358
Barking and Dagenham,Low,Low,High,0.0160427599908821,0.205412689447562,0.7873759923495717
City of London,High,Low,Low,1.0,0.2480290542823786,0.0
Harrow,Low,Medium,High,0.1456662562488331,0.31169287493861,1.0
Kingston upon Thames,Low,Low,Medium,0.1225660732327665,0.238576816570802,0.7137219693499468
Hillingdon,Low,Medium,High,0.1459024262358208,0.2686728743621527,0.9265330634223856
Enfield,Low,Low,High,0.0758892792332492,0.1971691316703046,0.8570720814878615
Bromley,Low,Low,High,0.1430562680398774,0.000582823552619,0.9031025573550304
Redbridge,Low,Low,High,0.0699619864024663,0.2343353811626277,0.8783700070466582
Hounslow,Medium,Medium,Medium,0.2353829721858422,0.3308550068696725,0.7456599918472195
Croydon,Low,Low,High,0.1348638702967041,0.2520262330134836,0.8536374567382857
Richmond upon Thames,Medium,Low,Medium,0.2763472982926516,0.1736887493437575,0.5341357974658425
Waltham Forest,Medium,Medium,Medium,0.2182608309287236,0.5110212266042683,0.6325375153237951
Merton,Medium,Medium,Medium,0.2216612607086255,0.3312782609543099,0.5985528832539914
Barnet,Medium,Medium,High,0.1833503180591572,0.4950703486291644,0.8392252187945407
Greenwich,Medium,Medium,Medium,0.2095633040793177,0.3463184665229619,0.6706002219887056
Ealing,Medium,Medium,Medium,0.2345976301961029,0.6077876771648818,0.6988849506485367
Newham,Medium,High,Medium,0.2460497338858815,0.8670770933052174,0.5975870617027228
Haringey,Medium,Medium,Low,0.2256109284437271,0.4704906217798507,0.4356442279740289
Lewisham,Medium,Medium,Medium,0.2137210532432411,0.519608586458096,0.5326440796709259
Brent,Medium,High,Medium,0.3323303162967542,0.8199927791125254,0.639100831233109
Hammersmith and Fulham,High,High,Low,0.578326552880037,0.9183038255214612,0.2177753867712037
Wandsworth,High,Medium,Medium,0.3927554505929576,0.635498379254894,0.4358641906278391
Lambeth,High,High,Low,0.3613739169316802,0.842793509130932,0.2449931783937833
Southwark,High,High,Low,0.4141162869279948,0.6744046577955469,0.3242472828833422
Islington,High,High,Low,0.5297332193162162,0.7635425361944419,0.1175760175284966
Kensington and Chelsea,High,High,Low,0.8429156597035428,0.8997348622390743,0.2706194303014076
Camden,High,High,Low,0.6673857161204694,0.743970827906111,0.2517916015068628
Hackney,High,High,Low,0.4450910943882167,0.8381556396332446,0.1508869106528585
Tower Hamlets,High,High,Low,0.5800113961658111,0.8089136454813144,0.2131562713824936
Westminster,High,High,Low,0.8575188361195675,1.0,0.1221243065311348
