host,hostName,hostListingCount,boroughCount,boroughs
28820321,Veronica,213,22,"Hackney, Newham, Hammersmith_and_Fulham, Camden, Islington, Haringey, Tower_Hamlets, Hounslow, Westminster, Kensington_and_Chelsea, Lambeth, Brent, Ealing, Southwark, Greenwich, Wandsworth, Lewisham, Barnet, Richmond_upon_Thames, Waltham_Forest, Merton, Havering"
33889201,Veeve,1161,22,"Camden, Kensington_and_Chelsea, Lambeth, Richmond_upon_Thames, Westminster, Islington, Wandsworth, Newham, Hammersmith_and_Fulham, Hounslow, Hackney, Haringey, Merton, Barnet, Brent, Ealing, Southwark, Greenwich, Tower_Hamlets, City_of_London, Kingston_upon_Thames, Lewisham"
137094377,Tom,177,21,"Islington, Westminster, Richmond_upon_Thames, Merton, Hammersmith_and_Fulham, Camden, Wandsworth, Kensington_and_Chelsea, Haringey, Hackney, City_of_London, Tower_Hamlets, Brent, Barnet, Southwark, Ealing, Lambeth, Croydon, Lewisham, Kingston_upon_Thames, Hounslow"
2125620,The London Residents Club,100,17,"Islington, Westminster, Southwark, City_of_London, Kensington_and_Chelsea, Wandsworth, Hammersmith_and_Fulham, Richmond_upon_Thames, Tower_Hamlets, Hounslow, Lambeth, Merton, Ealing, Brent, Haringey, Camden, Greenwich"
105564995,Under The Doormat,88,15,"Lambeth, Kensington_and_Chelsea, Richmond_upon_Thames, Wandsworth, City_of_London, Hammersmith_and_Fulham, Islington, Camden, Westminster, Brent, Ealing, Southwark, Tower_Hamlets, Merton, Hackney"
156158778,Sally,263,15,"Kensington_and_Chelsea, Westminster, Hammersmith_and_Fulham, Wandsworth, Islington, Camden, Richmond_upon_Thames, Hackney, Southwark, Lambeth, Haringey, City_of_London, Ealing, Tower_Hamlets, Brent"
188461840,Rachel & Aaron,31,14,"Westminster, Merton, Greenwich, Wandsworth, Hammersmith_and_Fulham, Hackney, Lambeth, Camden, Tower_Hamlets, Brent, Southwark, Kensington_and_Chelsea, Islington, Newham"
106387632,Sam,26,13,"Ealing, Tower_Hamlets, Lambeth, Hammersmith_and_Fulham, Haringey, Southwark, Kensington_and_Chelsea, Camden, Wandsworth, Merton, Islington, Westminster, Lewisham"
133522076,Shannon And Elizabeth,18,13,"Islington, Tower_Hamlets, Haringey, Wandsworth, City_of_London, Brent, Hammersmith_and_Fulham, Ealing, Kensington_and_Chelsea, Lewisham, Barnet, Camden, Merton"
14875410,The London Residents Club,60,13,"Westminster, Hammersmith_and_Fulham, Kensington_and_Chelsea, Lambeth, Southwark, Islington, Wandsworth, Tower_Hamlets, Kingston_upon_Thames, Camden, Haringey, Lewisham, Greenwich"
157242965,Sandy And Juan,64,13,"Kensington_and_Chelsea, Southwark, Islington, Tower_Hamlets, Camden, Lambeth, Hackney, Westminster, Wandsworth, Brent, Greenwich, Hammersmith_and_Fulham, Newham"
161695688,Grace And Jan,42,13,"City_of_London, Islington, Hammersmith_and_Fulham, Kensington_and_Chelsea, Brent, Camden, Westminster, Greenwich, Southwark, Newham, Lambeth, Tower_Hamlets, Wandsworth"
203207522,Paige And John,72,13,"Lambeth, Tower_Hamlets, Hammersmith_and_Fulham, Islington, Camden, Southwark, City_of_London, Kensington_and_Chelsea, Haringey, Westminster, Brent, Hackney, Lewisham"
21867370,Robert,57,13,"Islington, Southwark, Lambeth, City_of_London, Barnet, Camden, Westminster, Merton, Hackney, Brent, Haringey, Newham, Hillingdon"
23234040,White Rabbit,61,13,"Westminster, Kensington_and_Chelsea, Hammersmith_and_Fulham, Hackney, Lewisham, Wandsworth, Merton, Southwark, Brent, Lambeth, Islington, Camden, Greenwich"
27572615,Emily,136,13,"Hammersmith_and_Fulham, Kensington_and_Chelsea, Camden, Wandsworth, Ealing, Brent, Lambeth, Westminster, Hounslow, Southwark, Merton, Richmond_upon_Thames, Tower_Hamlets"
111104094,Shannon And Max,31,12,"Wandsworth, Southwark, Hounslow, Tower_Hamlets, Lambeth, Hackney, Newham, Islington, Camden, Westminster, Brent, Hammersmith_and_Fulham"
13815070,Guy,29,12,"Wandsworth, Kensington_and_Chelsea, Camden, Richmond_upon_Thames, Hammersmith_and_Fulham, Islington, Westminster, Brent, Tower_Hamlets, Bromley, Merton, Lambeth"
144274898,Alban And Sarah,25,12,"Kensington_and_Chelsea, Westminster, Southwark, Brent, Lambeth, Hackney, Hammersmith_and_Fulham, Tower_Hamlets, Camden, Islington, Ealing, Wandsworth"
190946293,Daniela And Max,40,12,"Kensington_and_Chelsea, Westminster, Wandsworth, Newham, Tower_Hamlets, Hammersmith_and_Fulham, Islington, Hackney, Camden, Lambeth, Southwark, Brent"
198139695,Sophia,34,12,"Camden, Westminster, Southwark, Lambeth, Richmond_upon_Thames, Islington, Tower_Hamlets, Hackney, Hammersmith_and_Fulham, Kensington_and_Chelsea, Wandsworth, Brent"
19826493,Abigeal,31,12,"Redbridge, Tower_Hamlets, Newham, Barking_and_Dagenham, Hackney, Lewisham, Havering, Islington, Greenwich, Westminster, Brent, Hillingdon"
203248950,Myles + Sophie,62,12,"Kensington_and_Chelsea, Hammersmith_and_Fulham, Westminster, Hackney, Islington, Tower_Hamlets, Southwark, Camden, Brent, Wandsworth, Greenwich, Lambeth"
30253178,Regina,26,12,"Southwark, Westminster, Richmond_upon_Thames, Harrow, Camden, Barnet, Greenwich, Tower_Hamlets, Croydon, Hammersmith_and_Fulham, Ealing, Kensington_and_Chelsea"
47542963,Nakul,37,12,"Camden, Southwark, Greenwich, Hackney, Wandsworth, Newham, Hammersmith_and_Fulham, Lambeth, Islington, Tower_Hamlets, Westminster, Kensington_and_Chelsea"
97366167,Almudena & Jan,46,12,"Westminster, Wandsworth, Kensington_and_Chelsea, Southwark, Hackney, Tower_Hamlets, Camden, Hammersmith_and_Fulham, Lambeth, Islington, Newham, Brent"
101037,Sam,18,11,"Kensington_and_Chelsea, Haringey, Islington, Camden, Lambeth, Hackney, Brent, Ealing, Tower_Hamlets, Westminster, Southwark"
1111601,Toby,15,11,"Greenwich, Wandsworth, Hammersmith_and_Fulham, Lambeth, Kensington_and_Chelsea, Haringey, Camden, City_of_London, Westminster, Hackney, Tower_Hamlets"
173009431,Thandie,31,11,"Westminster, Tower_Hamlets, Barking_and_Dagenham, Hackney, Hammersmith_and_Fulham, Southwark, Kensington_and_Chelsea, Camden, Islington, Lambeth, Wandsworth"
92803777,Elaine,37,11,"Westminster, Southwark, Camden, Lambeth, Kensington_and_Chelsea, Ealing, Greenwich, Islington, Tower_Hamlets, Wandsworth, Newham"
156187808,Residently,76,10,"Hackney, Westminster, Tower_Hamlets, Kensington_and_Chelsea, Islington, Lambeth, Camden, Wandsworth, Hammersmith_and_Fulham, Brent"
168342394,Freya,27,10,"Southwark, Tower_Hamlets, Lambeth, Westminster, Kensington_and_Chelsea, Hackney, Hammersmith_and_Fulham, Greenwich, Islington, Wandsworth"
27834248,Dolly,40,10,"Barnet, Islington, Hammersmith_and_Fulham, Westminster, Camden, Tower_Hamlets, Brent, Wandsworth, Kensington_and_Chelsea, Lambeth"
132780496,Shannon And Sally,11,9,"Westminster, Camden, Hammersmith_and_Fulham, Newham, Kensington_and_Chelsea, Lambeth, Islington, Brent, Tower_Hamlets"
1432477,City Relay,161,9,"Hammersmith_and_Fulham, Kensington_and_Chelsea, Camden, Westminster, Lambeth, Ealing, Hounslow, Islington, Brent"
162352928,Nicole And James,18,9,"Kensington_and_Chelsea, Westminster, Southwark, Islington, Hackney, Hammersmith_and_Fulham, Wandsworth, Tower_Hamlets, Lambeth"
20001519,VanZyl,31,9,"Kensington_and_Chelsea, Wandsworth, Hammersmith_and_Fulham, Tower_Hamlets, Camden, Westminster, Lambeth, Islington, Hounslow"
205414887,Kate And Sam,15,9,"Lambeth, Hammersmith_and_Fulham, Kensington_and_Chelsea, Westminster, Lewisham, Hackney, Camden, Tower_Hamlets, Wandsworth"
256757217,Nestify,38,9,"Westminster, Kensington_and_Chelsea, Camden, Hammersmith_and_Fulham, Tower_Hamlets, Southwark, Merton, Islington, Wandsworth"
54987,Prateek,62,9,"Tower_Hamlets, Lambeth, Islington, City_of_London, Hounslow, Camden, Westminster, Southwark, Hackney"
109436913,Sid,53,8,"Tower_Hamlets, Islington, Lambeth, City_of_London, Camden, Hackney, Southwark, Hounslow"
123745971,Especial,32,8,"Tower_Hamlets, City_of_London, Westminster, Camden, Islington, Hackney, Southwark, Hammersmith_and_Fulham"
135381324,Daniel - Interhome,8,8,"Westminster, Kensington_and_Chelsea, Southwark, Croydon, Hounslow, Harrow, Richmond_upon_Thames, Kingston_upon_Thames"
163583804,Olivia,19,8,"Brent, Tower_Hamlets, Camden, Westminster, Islington, Hammersmith_and_Fulham, Kensington_and_Chelsea, Lambeth"
175128252,Gospodin,53,8,"Hackney, Southwark, Hammersmith_and_Fulham, Lambeth, Kensington_and_Chelsea, Lewisham, Harrow, Camden"
178022571,TravelNest,14,8,"Newham, Lambeth, Islington, Camden, Wandsworth, Tower_Hamlets, Westminster, Waltham_Forest"
204935083,Matthew,60,8,"Kensington_and_Chelsea, Westminster, Tower_Hamlets, Wandsworth, Islington, City_of_London, Camden, Merton"
209461575,Richard I - Interhome,78,8,"Islington, Southwark, Tower_Hamlets, Hackney, City_of_London, Lambeth, Camden, Westminster"
230404895,Property,21,8,"Westminster, Lambeth, Ealing, Kensington_and_Chelsea, Barnet, Brent, Hammersmith_and_Fulham, Camden"
9063235,Roomspace,12,8,"Hounslow, Ealing, Croydon, Redbridge, City_of_London, Merton, Sutton, Richmond_upon_Thames"
988379,Allô,51,8,"Wandsworth, Merton, Hammersmith_and_Fulham, Camden, Barking_and_Dagenham, Islington, Westminster, Havering"
10961046,Guy,90,7,"Kensington_and_Chelsea, Westminster, Hammersmith_and_Fulham, Wandsworth, Southwark, Lambeth, Camden"
125334787,United Apartments,35,7,"City_of_London, Southwark, Hackney, Islington, Westminster, Camden, Tower_Hamlets"
145952198,Sebastian,27,7,"Hounslow, Hammersmith_and_Fulham, Kensington_and_Chelsea, Lambeth, Westminster, Islington, Wandsworth"
176910904,Alan,72,7,"Wandsworth, Camden, Kensington_and_Chelsea, Westminster, Brent, Ealing, Hackney"
184761028,Aaron,29,7,"Hillingdon, Ealing, Brent, Barnet, Wandsworth, Merton, Camden"
219870898,Shannon,11,7,"Hammersmith_and_Fulham, Westminster, Southwark, Camden, Newham, City_of_London, Kensington_and_Chelsea"
221577772,Hassan,9,7,"Hackney, Southwark, Newham, Westminster, Camden, Hammersmith_and_Fulham, Greenwich"
230373260,Yusuf,13,7,"Islington, Haringey, Camden, Hackney, Enfield, Tower_Hamlets, Barnet"
250186288,Stay With Fred,7,7,"Southwark, Newham, Islington, City_of_London, Hammersmith_and_Fulham, Greenwich, Lambeth"
302657,Eti & Daniel,14,7,"Camden, City_of_London, Barnet, Kensington_and_Chelsea, Hammersmith_and_Fulham, Tower_Hamlets, Islington"
478692,Temi From Scion Property Management,15,7,"Camden, Westminster, Barnet, Tower_Hamlets, Hammersmith_and_Fulham, Brent, Kensington_and_Chelsea"
50291093,Mar,113,7,"Tower_Hamlets, Islington, City_of_London, Camden, Lambeth, Southwark, Hackney"
50425595,Happyguest,13,7,"Kensington_and_Chelsea, Camden, Southwark, Tower_Hamlets, Barnet, Westminster, Lambeth"
67625,The Team At The London Agent,18,7,"Camden, Islington, Kensington_and_Chelsea, Westminster, Hammersmith_and_Fulham, Lambeth, Tower_Hamlets"
922398,Martina,30,7,"Islington, City_of_London, Tower_Hamlets, Southwark, Camden, Hackney, Lambeth"
10433541,Filip,7,6,"Camden, Lambeth, City_of_London, Hammersmith_and_Fulham, Westminster, Newham"
11904943,Ayna,19,6,"Newham, Tower_Hamlets, Lambeth, Westminster, Southwark, Ealing"
124754167,Marc,6,6,"Newham, Islington, Lambeth, Waltham_Forest, Hackney, Kensington_and_Chelsea"
129230780,Krasimir,28,6,"Westminster, Ealing, Hackney, Hammersmith_and_Fulham, Lewisham, Southwark"
14201109,Beulah,8,6,"Hackney, Tower_Hamlets, Wandsworth, Newham, Hammersmith_and_Fulham, Redbridge"
142216086,Sacha Graham,7,6,"Tower_Hamlets, Hammersmith_and_Fulham, Westminster, Wandsworth, Hackney, Waltham_Forest"
160838291,Captain & Captain,14,6,"Westminster, Haringey, Tower_Hamlets, Islington, Camden, Hillingdon"
161586819,Daniel,7,6,"Hammersmith_and_Fulham, Westminster, Tower_Hamlets, Lambeth, Southwark, Islington"
162651986,Rachel,12,6,"Tower_Hamlets, Islington, Camden, City_of_London, Newham, Kensington_and_Chelsea"
1836897,Angie,33,6,"Hackney, Camden, Southwark, Tower_Hamlets, Westminster, City_of_London"
199988898,Marco,8,6,"Kensington_and_Chelsea, Hammersmith_and_Fulham, Hounslow, City_of_London, Westminster, Camden"
20648813,Darryl,47,6,"Tower_Hamlets, City_of_London, Camden, Hammersmith_and_Fulham, Lambeth, Westminster"
209020721,Algirdas,12,6,"Islington, Westminster, Tower_Hamlets, Hackney, Lambeth, Brent"
218940007,James,14,6,"Camden, Islington, Westminster, Tower_Hamlets, Hackney, City_of_London"
219610650,Diana And John,36,6,"Kensington_and_Chelsea, Westminster, Wandsworth, Hammersmith_and_Fulham, Lambeth, City_of_London"
224930553,Richard,8,6,"Wandsworth, Lambeth, Southwark, Kensington_and_Chelsea, Westminster, Tower_Hamlets"
235577341,Thalita,23,6,"Hammersmith_and_Fulham, Tower_Hamlets, Westminster, Southwark, Camden, Hackney"
236311107,Ben,16,6,"Westminster, Camden, Tower_Hamlets, Southwark, Lambeth, Brent"
24364444,Roman,14,6,"Southwark, Westminster, Camden, Tower_Hamlets, Brent, Hackney"
